Name, OrderNo, Data Depth,Format depth,,,,,
PyMS,1,0,0,,,,,
PyMS,2,0,0,,,,,
PyMS,1,0,0,,,,,
PyMS,2,0,0,,,,,
LimmaRP,1,2,0,,,,,
LimmaRP,2,2,0,,,,,
raw2mzDB,1,0,0,,,,,
MyriMatch,1,0,0,,,,,
MyriMatch,2,1,0,,,,,
mzXML Viewer,1,0,0,,,,,
PEAKS DB,1,0,0,,,,,
PEAKS DB,2,0,0,,,,,
PEAKS DB,1,0,0,,,,,
PEAKS DB,2,0,0,,,,,
mMass,1,0,0,,,,,
mMass,1,0,0,,,,,
mMass,2,0,0,,,,,
MSiReader,1,1,0,,,,,
MSiReader,2,3,0,,,,,
ProSight PTM Ion Predictor,1,2,5,,,,,
GPMAW,1,1,0,,,,,
PklFileMerger,1,1,0,,,,,
XINA,1,2,0,,,,,
ms-data-core-api,1,1,0,,,,,
ms-data-core-api,1,1,0,,,,,
MSGraph,1,0,1,,,,,
ms-data-core-api,1,1,0,,,,,
Quant,1,0,0,,,,,
Quant,2,0,0,,,,,
Quant,1,0,0,,,,,
Quant,2,0,0,,,,,
ms-data-core-api,1,1,0,,,,,
ms-data-core-api,1,1,0,,,,,
Out2Summary,1,0,0,,,,,
rt,1,0,0,,,,,
ASAPRatio,1,0,0,,,,,
DECIPHER,1,0,0,,,,,
DECIPHER,2,0,0,,,,,
unfinnigan,1,0,0,,,,,
TVT viewer,1,0,0,,,,,
PPIExp,1,2,5,,,,,
PChopper,1,7,0,,,,,
InDigestion,1,0,5,,,,,
ProteinProphet,1,0,0,,,,,
Peppy,1,0,0,,,,,
Peppy,2,0,0,,,,,
Peppy,3,0,0,,,,,
AUTOHD,1,1,1,,,,,
cdfread,1,0,0,,,,,
theospec,1,2,5,,,,,
PIA - Protein Inference Algorithms,1,0,0,,,,,
PAnnBuilder,1,0,5,,,,,
PAnnBuilder,2,3,5,,,,,
DeconMSn,1,0,0,,,,,
DeconMSn,2,1,0,,,,,
Mascot Server,1,0,0,,,,,
Mascot Server,2,0,0,,,,,
Informed-Proteomics,1,1,0,,,,,
Jtraml,1,1,0,,,,,
CPM,1,1,5,,,,,
CPM,2,0,5,,,,,
Protter,1,0,0,,,,,
Protter,2,0,0,,,,,
Protter,3,1,0,,,,,
Scop3d,1,0,0,,,,,
isotop,1,1,2,,,,,
Popitam,1,0,0,,,,,
Popitam,2,0,0,,,,,
PeptideShaker,1,1,0,,,,,
PeptideShaker,2,0,0,,,,,
PeptideShaker,3,1,0,,,,,
MFPaQ,1,0,1,,,,,
MFPaQ,1,0,0,,,,,
MFPaQ,2,0,0,,,,,
MFPaQ,1,0,0,,,,,
Mascot2XML,1,1,0,,,,,
PGA,1,0,0,,,,,
HDX WorkBench,1,0,0,,,,,
HDX WorkBench,2,1,0,,,,,
HDX WorkBench,3,1,0,,,,,
OpenMZxy,1,0,0,,,,,
ProteinCutter,1,1,1,,,,,
recal2,1,0,0,,,,,
msmsTests,1,1,1,,,,,
idconvert,1,0,0,,,,,
MassMatrix,1,0,0,,,,,
MassMatrix,2,1,0,,,,,
Pep3D,1,0,0,,,,,
Pep3D,2,0,0,,,,,
Mayu,1,0,0,,,,,
Mayu,1,1,0,,,,,
Mayu,2,0,0,,,,,
PTMProphet,1,0,0,,,,,
MapQuant,1,0,1,,,,,
MapQuant,1,0,1,,,,,
BioPlex 2.0,1,3,5,,,,,
mzXML2Search,1,0,0,,,,,
msaccess,1,0,0,,,,,
msaccess,2,0,0,,,,,
DataAnalysis2TPP,1,0,0,,,,,
Hyper-Spectral Phasors (HySP),1,1,1,,,,,
OpenSWATH,1,2,0,,,,,
OpenSWATH,1,1,0,,,,,
OpenSWATH,2,0,0,,,,,
libmgf,1,1,0,,,,,
X Hunter,1,0,0,,,,,
X Hunter,2,2,0,,,,,
X Hunter,3,0,0,,,,,
dig,1,7,0,,,,,
enviPat,1,1,0,,,,,
ProteomicsDB,1,2,5,,,,,
mspire-simulator,1,1,0,,,,,
XPRESS,1,0,0,,,,,
proBAMr,1,1,0,,,,,
MS-GFDB,1,1,0,,,,,
MS-GFDB,2,1,0,,,,,
SDA (Statistical DIGE Analyzer),1,2,0,,,,,
PVIEW,1,1,0,,,,,
PVIEW,2,0,0,,,,,
PVIEW,3,0,0,,,,,
ExMS,1,0,0,,,,,
ExMS,2,0,0,,,,,
PepNovo,1,0,0,,,,,
Spectrum Look,1,0,0,,,,,
PGConverter,1,1,0,,,,,
PGConverter,1,1,0,,,,,
Y.A.D.A.,1,0,0,,,,,
IsobariQ,1,0,0,,,,,
DeconTools,1,0,0,,,,,
PGConverter,1,1,0,,,,,
PGConverter,1,1,0,,,,,
PGConverter,1,1,0,,,,,
Unipept CLI,1,0,0,,,,,
Unipept CLI,2,0,0,,,,,
Multi-Q,1,0,0,,,,,
Multi-Q,1,0,0,,,,,
Multi-Q,2,0,0,,,,,
OpenChrom,1,0,0,,,,,
RelEx,1,0,0,,,,,
MaxQuant,1,0,0,,,,,
msalign2,1,0,0,,,,,
Unipept visualizations,1,0,2,,,,,
Unipept visualizations,2,0,2,,,,,
Libra,1,0,0,,,,,
Comet,1,0,0,,,,,
ICPL_ESIQuant,1,0,0,,,,,
ICPL_ESIQuant,1,0,0,,,,,
imDEV,1,2,0,,,,,
imDEV,1,2,0,,,,,
Sirius,1,0,0,,,,,
ProXL,1,1,1,,,,,
ProMEX protein mass spectral library,1,2,1,,,,,
ProMEX protein mass spectral library,1,0,0,,,,,
mzStar,1,7,0,,,,,
qcmetrics,1,2,2,,,,,
Tandem2XML,1,0,0,,,,,
ProteinART,1,0,0,,,,,
ProteinART,2,1,0,,,,,
greylag,1,0,5,,,,,
greylag,2,2,0,,,,,
OBI-Warp,1,1,0,,,,,
MSstats,1,2,0,,,,,
MSstats,1,2,0,,,,,
MSstats,1,2,0,,,,,
muxQuant,1,0,0,,,,,
muxQuant,2,0,0,,,,,
MassAI,1,0,0,,,,,
MassAI,1,0,0,,,,,
XTandem Parser,1,0,0,,,,,
isoScale,1,0,5,,,,,
ICPLQuant,1,0,0,,,,,
ICPLQuant,2,0,0,,,,,
ICPLQuant,3,0,0,,,,,
PeptideProphet,1,0,0,,,,,
SIM-XL,1,0,0,,,,,
SIM-XL,2,0,0,,,,,
SIM-XL,3,1,0,,,,,
BRAIN,1,0,0,,,,,
BRAIN,2,1,0,,,,,
PECA,1,0,0,,,,,
MassWiz,1,0,0,,,,,
MS-GF+,1,0,0,,,,,
MS-GF+,2,0,0,,,,,
MS-GF+,1,1,0,,,,,
MS-GF+,2,1,0,,,,,
CrosstalkDB,1,2,0,,,,,
dat2mgf,1,0,0,,,,,
multiplierz,1,1,0,,,,,
multiplierz,2,0,1,,,,,
multiplierz,1,1,0,,,,,
multiplierz,2,0,1,,,,,
XTandem,1,0,0,,,,,
XTandem,2,2,0,,,,,
adjustPKL,1,1,0,,,,,
adjustPKL,2,0,0,,,,,
ReAdW,1,0,0,,,,,
mzXMLplot,1,0,0,,,,,
nontarget,1,1,0,,,,,
nontarget,2,0,0,,,,,
nontarget,3,0,0,,,,,
Q4SRM,1,0,0,,,,,
mzWiff,1,0,0,,,,,
SWATH2stats,1,0,5,,,,,
MS-Isotope,1,7,0,,,,,
OpenMS,1,1,0,,,,,
OpenMS,2,1,0,,,,,
OpenMS,3,0,0,,,,,
decoy.pl,1,1,2,,,,,
Delta Mass,1,1,5,,,,,
PAnalyzer,1,0,0,,,,,
Percolator,1,0,1,,,,,
protk,1,1,0,,,,,
protk,2,0,0,,,,,
DIA-Umpire,1,0,0,,,,,
DIA-Umpire,2,2,0,,,,,
DIA-Umpire,3,2,0,,,,,
ProSight Lite,1,1,0,,,,,
ProSight Lite,2,1,5,,,,,
ProSight Lite,3,0,0,,,,,
DIA-Umpire,1,0,0,,,,,
esimsa,1,0,5,,,,,
esimsa,2,1,5,,,,,
esimsa,3,0,5,,,,,
HX-Express,1,0,1,,,,,
COMSPARI,1,0,5,,,,,
COMSPARI,1,0,0,,,,,
ParameciumDB,1,0,0,,,,,
ParameciumDB,2,2,2,,,,,
ParameciumDB,3,2,1,,,,,
Graph Extract,1,7,1,,,,,
XTandemPipeline,1,0,0,,,,,
lutefisk,1,0,0,,,,,
lutefisk,2,2,5,,,,,
XTandemPipeline,1,0,0,,,,,
XTandemPipeline,1,0,0,,,,,
XTandemPipeline,2,1,0,,,,,
Histone Coder,1,0,1,,,,,
iso2l,1,0,2,,,,,
iso2l,2,1,1,,,,,
RAAMS,1,0,0,,,,,
IDCalc,1,0,2,,,,,
IDCalc,2,1,1,,,,,
CompassXport,1,0,1,,,,,
Isotope calculator,1,1,0,,,,,
MassHunter File Reader,1,0,1,,,,,
MS-Digest,1,0,5,,,,,
MS-Digest,2,0,5,,,,,
MR-MSPOLYGRAPH,1,0,0,,,,,
MR-MSPOLYGRAPH,2,1,0,,,,,
ProCoNA,1,1,1,,,,,
InfernoRDN,1,0,0,,,,,
make_random,1,1,2,,,,,
msConvert,1,0,0,,,,,
collect_mgf,1,0,0,,,,,
ProSight PTM,1,1,0,,,,,
ProSight PTM,1,1,1,,,,,
Denovogui,1,0,0,,,,,
ProSight PTM,1,1,0,,,,,
PIQED,1,1,1,,,,,
PIQED,2,1,0,,,,,
CCdigest,1,7,0,,,,,
Xtractor,1,1,5,,,,,
Xtractor,2,0,5,,,,,
Xtractor,3,0,5,,,,,
massXpert,1,2,1,,,,,
massXpert,2,1,1,,,,,
Dinosaur,1,0,0,,,,,
msalign,1,0,0,,,,,
msalign,2,0,0,,,,,
ESIprot,1,0,1,,,,,
msgfdb2pepxml,1,0,0,,,,,
msgfdb2pepxml,2,0,1,,,,,
msgfdb2pepxml,3,1,0,,,,,
MassWolf,1,0,1,,,,,
CoExpresso,1,0,0,,,,,
CoExpresso,2,2,0,,,,,
MS-Fit,1,0,5,,,,,
retentionprediction,1,2,5,,,,,
SearchGUI,1,0,0,,,,,
SearchGUI,2,1,0,,,,,
ComplexBrowser,1,2,0,,,,,
ComplexBrowser,2,1,0,,,,,
GlycoMod,1,0,5,,,,,
GlycoMod,2,1,5,,,,,
GlycoMod,3,0,5,,,,,
pymzML,1,7,0,,,,,
ComPIL,1,0,5,,,,,
